initstates.csv
181440 puzzles
puzzle,d,count
278415630,24,5
278416035,26,8
278416305,25,2
278416350,26,2
278430165,17,1
278430516,23,3
278430651,23,4
278431065,22,3
278431605,23,7
278431650,24,11
278435016,20,1
278435106,19,1
278435160,18,1
278436051,26,4
278436501,25,3
278436510,24,3
278450136,21,1
278450361,27,13
278450613,23,1
278451036,26,7
278451306,27,12
278451360,28,25
278453061,24,7
278453601,23,4
278453610,24,5
278456013,22,1
278456103,21,1
278456130,22,2
278460153,19,1
278460315,25,2
278460531,25,2
278461053,22,2
278461503,23,2
278461530,24,2
278463015,18,1
278463105,17,1
278463150,18,1
278465031,26,8
278465301,27,23
278465310,26,2
278501364,22,2
278501436,24,4
278501643,20,1
278503146,18,2
278503461,22,3
278503614,18,1
278504163,22,4
278504316,24,1
278504631,22,1
278506134,22,2
278506341,26,10
278506413,24,5
278510364,23,2
278510436,25,7
278510643,21,2
278513064,20,3
278513604,19,1
278513640,20,1
278514036,24,4
278514306,25,7
278514360,24,2
278516043,22,3
278516403,23,3
278516430,24,3
278530146,19,2
278530461,23,3
278530614,19,1
278531046,22,2
278531406,23,2
278531460,24,5
278534061,22,1
278534601,21,1
278534610,20,1
278536014,22,2
278536104,21,2
278536140,20,2
278540163,21,2
278540316,25,1
278540631,23,2
278541063,22,1
278541603,21,1
278541630,22,1
278543016,20,2
278543106,19,2
278543160,20,2
278546031,28,21
278546301,27,11
278546310,26,1
278560134,23,2
278560341,25,4
278560413,23,1
278561034,22,2
278561304,23,4
278561340,24,4
278563041,20,1
278563401,21,1
278563410,22,1
278564013,24,7
278564103,23,4
278564130,24,6
278601345,24,3
278601453,20,2
278601534,20,2
278603154,14,1
278603415,20,4
278603541,18,1
278604135,18,1
278604351,22,2
278604513,22,3
278605143,18,1
278605314,24,2
278605431,24,8
278610345,25,5
278610453,21,3
278610534,21,2
278613045,18,1
278613405,19,1
278613450,20,1
278614053,20,2
278614503,21,2
278614530,22,4
278615034,22,2
278615304,23,2
278615340,24,2
278630154,15,1
278630415,21,4
278630541,19,1
278631054,18,2
278631504,19,2
278631540,20,3
278634015,18,1
278634105,17,1
278634150,16,1
278635041,22,1
278635401,23,5
278635410,22,4
278640135,19,1
278640351,23,2
278640513,21,1
278641035,22,2
278641305,23,2
278641350,24,4
278643051,20,1
278643501,19,1
278643510,20,1
278645013,20,1
278645103,19,1
278645130,20,2
278650143,17,1
278650314,25,4
278650431,23,3
278651043,20,1
278651403,21,3
278651430,22,3
278653014,16,1
278653104,15,1
278653140,16,1
278654031,24,3
278654301,23,2
278654310,24,2
280134567,20,1
280134675,16,1
280134756,18,1
280135476,18,1
280135647,18,1
280135764,16,1
280136457,22,1
280136574,18,1
280136745,20,6
280137465,18,1
280137546,18,1
280137654,14,1
280143576,20,4
280143657,18,1
280143765,6,1
280145367,22,4
280145673,22,2
280145736,14,2
280146375,20,1
280146537,24,6
280146753,14,1
280147356,24,1
280147563,22,4
280147635,20,4
280153467,18,3
280153674,18,1
280153746,10,2
280154376,20,6
280154637,22,4
280154763,18,2
280156347,24,2
280156473,20,1
280156734,18,3
280157364,22,1
280157436,24,5
280157643,18,2
280163475,16,1
280163547,18,1
280163754,8,1
280164357,24,10
280164573,22,3
280164735,16,1
280165374,24,12
280165437,22,2
280165743,16,1
280167345,26,3
280167453,22,6
280167534,22,1
280173456,20,2
280173564,18,3
280173645,16,1
280174365,22,9
280174536,22,2
280174653,18,2
280175346,22,4
280175463,22,3
280175634,20,1
280176354,24,2
280176435,24,3
280176543,20,2
280314576,24,4
280314657,22,1
280314765,14,1
280315467,26,6
280315674,26,6
280315746,18,2
280316475,24,1
280316547,26,2
280316754,18,3
280317456,28,2
280317564,26,8
280317645,24,1
280341567,24,1
280341675,20,1
280341756,22,1
280345176,16,2
280345617,20,3
280345761,20,5
280346157,20,2
280346571,26,4
280346715,20,2
280347165,20,2
280347516,26,5
280347651,24,4
280351476,18,1
280351647,22,1
280351764,20,1
280354167,20,1
280354671,22,1
280354716,16,1
280356174,20,3
280356417,22,1
280356741,20,3
280357146,24,3
280357461,26,4
280357614,24,1
280361457,22,1
280361574,22,2
280361745,22,1
280364175,18,3
280364517,22,1
280364751,16,1
280365147,22,4
280365471,26,7
280365714,20,2
280367154,22,1
280367415,26,1
280367541,26,1
280371465,20,1
280371546,24,4
280371654,20,2
280374156,20,1
280374561,26,9
280374615,20,3
280375164,22,3
280375416,24,12
280375641,24,7
280376145,24,2
280376451,26,1
280376514,24,5
280413567,24,2
280413675,18,1
280413756,20,3
280415376,22,3
280415637,24,1
280415763,22,5
280416357,28,13
280416573,24,2
280416735,22,1
280417365,24,1
280417536,24,1
280417653,20,1
280431576,20,2
280431657,24,2
280431765,12,1
280435167,22,4
280435671,24,2
280435716,20,4
280436175,18,1
280436517,24,1
280436751,20,1
280437156,22,1
280437561,28,19
280437615,20,1
280451367,24,1
280451673,22,1
280451736,16,1
280453176,12,1
280453617,16,1
280453761,16,1
280456137,20,1
280456371,26,20
280456713,24,5
280457163,20,1
280457316,26,1
280457631,24,3
280461375,22,4
280461537,24,4
280461753,14,1
280463157,16,1
280463571,22,2
280463715,18,1
280465173,20,1
280465317,24,4
280465731,22,2
280467135,24,2
280467351,28,15
280467513,24,2
280471356,26,4
280471563,22,4
280471635,22,2
280473165,14,1
280473516,22,5
280473651,20,3
280475136,22,1
280475361,24,4
280475613,24,1
280476153,20,1
280476315,24,2
280476531,26,3
280513476,20,3
280513647,20,1
280513764,16,1
280514367,26,4
280514673,22,1
280514736,20,1
280516374,22,3
280516437,26,3
280516743,20,1
280517346,28,6
280517463,24,6
280517634,26,3
280531467,24,5
280531674,18,1
280531746,16,2
280534176,20,3
280534617,24,2
280534761,22,2
280536147,22,3
280536471,24,1
280536714,22,2
280537164,18,1
280537416,22,1
280537641,24,3
280541376,22,2
280541637,22,1
280541763,18,2
280543167,18,2
280543671,22,4
280543716,18,1
280546173,18,1
280546317,22,2
280546731,22,1
280547136,22,1
280547361,26,7
280547613,22,2
280561347,24,1
280561473,20,1
280561734,20,2
280563174,14,2
280563417,18,1
280563741,18,1
280564137,20,1
280564371,22,3
280564713,24,3
280567143,20,1
280567314,26,3
280567431,24,1
280571364,24,5
280571436,22,2
280571643,20,2
280573146,16,2
280573461,20,2
280573614,18,1
280574163,22,1
280574316,24,4
280574631,24,3
280576134,24,5
280576341,24,6
280576413,26,11
280613457,22,3
280613574,16,1
280613745,20,3
280614375,18,1
280614537,22,1
280614753,18,1
280615347,26,9
280615473,22,1
280615734,24,3
280617354,24,4
280617435,24,3
280617543,20,3
280631475,16,1
280631547,20,1
280631754,14,1
280634157,22,2
280634571,22,3
280634715,20,1
280635174,20,1
280635417,22,2
280635741,22,1
280637145,22,2
280637451,24,3
280637514,18,1
280641357,26,9
280641573,20,2
280641735,18,1
280643175,10,1
280643517,20,4
280643751,18,1
280645137,18,3
280645371,22,3
280645713,26,6
280647153,18,2
280647315,24,10
280647531,22,1
280651374,22,1
280651437,20,1
280651743,16,1
280653147,14,1
280653471,18,1
280653714,20,1
280654173,22,3
280654317,22,1
280654731,20,1
280657134,22,1
280657341,28,16
280657413,24,6
280671345,22,1
280671453,18,2
280671534,20,1
280673154,12,1
280673415,18,1
280673541,16,1
280674135,20,1
280674351,20,2
280674513,22,1
280675143,20,1
280675314,26,5
280675431,26,11
280713465,14,2
280713546,14,2
280713654,10,1
280714356,22,1
280714563,20,1
280714635,16,1
280715364,22,3
280715436,20,2
280715643,18,1
280716345,24,1
280716453,22,3
280716534,20,3
280731456,18,2
280731564,16,1
280731645,14,1
280734165,18,2
280734516,20,1
280734651,16,1
280735146,22,7
280735461,20,2
280735614,20,1
280736154,18,1
280736415,22,1
280736541,20,3
280741365,20,4
280741536,20,5
280741653,14,1
280743156,20,2
280743561,18,4
280743615,10,1
280745163,22,1
280745316,18,2
280745631,18,3
280746135,22,3
280746351,22,2
280746513,18,1
280751346,20,2
280751463,18,2
280751634,18,2
280753164,20,2
280753416,14,2
280753641,14,2
280754136,18,1
280754361,22,1
280754613,20,2
280756143,20,1
280756314,22,3
280756431,22,6
280761354,22,3
280761435,22,7
280761543,16,1
280763145,20,1
280763451,18,4
280763514,14,2
280764153,22,6
280764315,20,1
280764531,20,3
280765134,22,2
280765341,24,4
280765413,20,1
281034567,21,1
281034675,17,1
281034756,19,1
281035476,15,1
281035647,19,1
281035764,17,1
281036457,21,1
281036574,19,2
281036745,21,2
281037465,21,1
281037546,23,2
281037654,19,1
281043576,17,2
281043657,23,3
281043765,9,1
281045367,23,5
281045673,19,1
281045736,15,2
281046375,23,4
281046537,23,2
281046753,15,2
281047356,27,14
281047563,23,11
281047635,23,1
281053467,21,2
281053674,15,1
281053746,13,2
281054376,19,2
281054637,21,1
281054763,17,1
281056347,21,1
281056473,17,1
281056734,19,4
281057364,23,1
281057436,23,2
281057643,21,4
281063475,13,1
281063547,21,2
281063754,11,1
281064357,23,2
281064573,19,1
281064735,17,2
281065374,21,2
281065437,19,1
281065743,17,2
281067345,23,2
281067453,19,2
281067534,21,1
281073456,17,2
281073564,15,1
281073645,13,1
281074365,21,8
281074536,19,1
281074653,15,1
281075346,19,3
281075463,19,2
281075634,17,1
281076354,23,10
281076435,21,2
281076543,17,1
281304567,22,1
281304675,18,1
281304756,20,1
281305476,16,1
281305647,20,1
281305764,18,1
281306457,20,1
281306574,20,2
281306745,22,3
281307465,20,1
281307546,24,4
281307654,20,1
281340567,23,1
281340675,19,1
281340756,21,1
281345067,22,2
281345607,21,2
281345670,20,1
281346075,24,8
281346705,23,4
281346750,22,1
281347056,26,5
281347506,25,5
281347560,24,1
281350476,17,1
281350647,21,1
281350764,19,1
281354076,20,2
281354706,21,4
281354760,20,1
281356047,20,1
281356407,19,1
281356470,18,1
281357064,22,1
281357604,21,1
281357640,22,2
281360457,21,1
281360574,21,2
281360745,21,1
281364057,24,5
281364507,23,3
281364570,22,2
281365074,20,1
281365704,19,1
281365740,20,1
281367045,22,1
281367405,21,1
281367450,22,2
281370465,19,1
281370546,23,2
281370654,21,4
281374065,20,1
281374605,19,1
281374650,20,1
281375046,18,1
281375406,17,1
281375460,18,1
281376054,22,2
281376504,21,2
281376540,22,2
281403576,18,2
281403657,24,10
281403765,10,1
281405367,22,1
281405673,20,1
281405736,14,1
281406375,24,12
281406537,22,2
281406753,14,1
281407356,26,5
281407563,22,6
281407635,24,8
281430576,19,2
281430657,25,13
281430765,11,1
281435076,14,1
281435706,13,1
281435760,12,1
281436057,22,3
281436507,21,2
281436570,20,2
281437065,22,1
281437605,23,1
281437650,24,1
281450367,23,1
281450673,21,1
281450736,15,1
281453067,22,2
281453607,23,3
281453670,22,1
281456073,16,1
281456703,15,1
281456730,16,2
281457036,24,2
281457306,25,3
281457360,24,1
281460375,23,5
281460537,23,4
281460753,13,1
281463075,12,1
281463705,11,1
281463750,12,1
281465037,20,1
281465307,21,1
281465370,22,1
281467053,20,2
281467503,21,2
281467530,22,2
281470356,25,2
281470563,21,4
281470635,23,5
281473056,18,2
281473506,19,4
281473560,20,4
281475063,20,2
281475603,21,3
281475630,22,3
281476035,22,2
281476305,23,2
281476350,24,2
281503467,22,3
281503674,16,1
281503746,14,2
281504376,20,2
281504637,20,1
281504763,18,3
281506347,22,1
281506473,18,1
281506734,18,2
281507364,24,5
281507436,22,2
281507643,20,2
281530467,23,3
281530674,17,1
281530746,15,2
281534067,20,1
281534607,19,1
281534670,18,1
281536074,18,2
281536704,17,2
281536740,16,2
281537046,24,4
281537406,23,2
281537460,24,5
281540376,21,2
281540637,21,1
281540763,17,2
281543076,16,2
281543706,15,2
281543760,16,2
281546037,24,5
281546307,23,3
281546370,22,2
281547063,22,2
281547603,21,2
281547630,22,3
281560347,23,1
281560473,19,1
281560734,19,2
281563047,22,3
281563407,21,1
281563470,20,1
281564073,20,4
281564703,19,3
281564730,20,5
281567034,22,1
281567304,23,1
281567340,24,2
281570364,23,3
281570436,21,2
281570643,19,2
281573064,16,1
281573604,17,2
281573640,18,2
281574036,20,1
281574306,21,3
281574360,22,3
281576043,18,1
281576403,19,2
281576430,20,2
281603475,14,1
281603547,22,5
281603754,12,1
281604357,24,4
281604573,18,1
281604735,16,1
281605374,20,1
281605437,18,1
281605743,16,1
281607345,22,1
281607453,18,2
281607534,20,1
281630475,15,1
281630547,21,1
281630754,13,1
281634075,16,1
281634705,15,1
281634750,14,1
281635047,18,1
281635407,17,1
281635470,16,1
281637054,20,1
281637504,21,2
281637540,22,3
281640357,25,5
281640573,19,1
281640735,17,1
281643057,22,1
281643507,21,1
281643570,20,1
281645073,18,1
281645703,17,1
281645730,18,2
281647035,24,2
281647305,23,1
281647350,24,1
281650374,21,1
281650437,19,1
281650743,15,1
281653074,14,1
281653704,13,1
281653740,14,1
281654037,22,1
281654307,23,2
281654370,22,1
281657043,20,2
281657403,19,2
281657430,20,3
281670345,21,1
281670453,17,2
281670534,19,1
281673045,14,1
281673405,15,2
281673450,16,2
281674053,16,1
281674503,17,1
281674530,18,1
281675034,18,1
281675304,19,1
281675340,20,1
281703456,16,2
281703564,14,1
281703645,12,1
281704365,20,4
281704536,18,1
281704653,14,1
281705346,18,2
281705463,18,2
281705634,16,1
281706354,22,8
281706435,20,2
281706543,16,1
281730456,17,2
281730564,15,1
281730645,13,1
281734056,18,1
281734506,17,1
281734560,16,1
281735064,16,1
281735604,15,1
281735640,14,1
281736045,20,2
281736405,19,2
281736450,18,2
281740365,19,2
281740536,19,4
281740653,13,1
281743065,10,1
281743605,11,1
281743650,12,1
281745036,16,2
281745306,17,2
281745360,18,2
281746053,16,2
281746503,17,3
281746530,18,3
281750346,19,2
281750463,17,2
281750634,17,2
281753046,14,2
281753406,15,2
281753460,16,2
281754063,16,1
281754603,15,1
281754630,16,1
281756034,20,4
281756304,21,6
281756340,20,2
281760354,21,2
281760435,21,6
281760543,15,1
281763054,12,1
281763504,13,1
281763540,14,1
281764035,18,2
281764305,19,2
281764350,20,2
281765043,18,2
281765403,19,4
281765430,20,4
283014576,19,4
283014657,17,1
283014765,5,1
283015467,17,4
283015674,21,7
283015746,9,2
283016475,19,4
283016547,19,6
283016754,9,2
283017456,21,7
283017564,17,2
283017645,19,4
283041567,23,1
283041675,19,3
283041756,17,2
283045176,9,1
283045617,13,1
283045761,13,1
283046157,15,1
283046571,21,6
283046715,19,3
283047165,15,1
283047516,19,2
283047651,19,2
283051476,19,3
283051647,21,2
283051764,13,1
283054167,17,2
283054671,19,1
283054716,15,1
283056174,11,2
283056417,15,1
283056741,17,2
283057146,17,2
283057461,19,1
283057614,15,1
283061457,21,1
283061574,15,1
283061745,17,2
283064175,7,1
283064517,17,2
283064751,15,1
283065147,13,1
283065471,17,2
283065714,19,2
283067154,13,1
283067415,17,1
283067541,17,1
283071465,15,2
283071546,15,2
283071654,11,1
283074156,19,3
283074561,17,2
283074615,9,1
283075164,21,4
283075416,13,3
283075641,13,1
283076145,21,4
283076451,17,2
283076514,13,2
283104576,18,1
283104657,16,1
283104765,4,1
283105467,16,3
283105674,20,7
283105746,8,2
283106475,18,4
283106547,18,5
283106754,8,2
283107456,20,7
283107564,16,2
283107645,18,4
283140576,19,2
283140657,17,1
283140765,5,1
283145076,8,1
283145706,7,1
283145760,6,1
283146057,16,1
283146507,17,1
283146570,18,1
283147065,16,1
283147605,17,1
283147650,18,2
283150467,17,3
283150674,19,2
283150746,9,2
283154067,18,3
283154607,17,1
283154670,18,1
283156074,10,2
283156704,9,2
283156740,10,4
283157046,18,2
283157406,19,5
283157460,18,3
283160475,17,2
283160547,17,1
283160754,7,1
283164075,6,1
283164705,5,1
283164750,6,1
283165047,14,1
283165407,15,1
283165470,16,1
283167054,14,1
283167504,15,1
283167540,16,1
283170456,21,13
283170564,17,2
283170645,17,1
283174056,20,6
283174506,19,3
283174560,18,2
283175064,20,1
283175604,19,1
283175640,18,1
283176045,20,4
283176405,19,4
283176450,20,4
283401567,24,6
283401675,18,3
283401756,18,3
283405176,10,1
283405617,14,1
283405761,14,1
283406157,14,1
283406571,20,2
283406715,18,1
283407165,14,1
283407516,20,2
283407651,18,1
283410567,23,2
283410675,17,1
283410756,19,3
283415067,16,1
283415607,15,1
283415670,16,1
283416075,20,5
283416705,19,1
283416750,20,4
283417056,22,9
283417506,21,2
283417560,22,2
283450176,11,1
283450617,15,1
283450761,15,1
283451076,18,1
283451706,17,1
283451760,16,1
283456017,14,1
283456107,13,1
283456170,12,1
283457061,18,1
283457601,17,1
283457610,16,1
283460157,15,1
283460571,21,2
283460715,17,1
283461057,22,1
283461507,23,3
283461570,22,2
283465071,16,1
283465701,15,1
283465710,16,1
283467015,16,1
283467105,15,1
283467150,16,2
283470165,13,1
283470516,21,4
283470651,19,3
283471065,16,2
283471605,17,2
283471650,18,2
283475016,12,1
283475106,11,1
283475160,12,1
283476051,18,2
283476501,19,2
283476510,20,2
283501476,18,2
283501647,20,1
283501764,14,1
283504167,16,2
283504671,20,4
283504716,16,1
283506174,12,2
283506417,16,1
283506741,18,3
283507146,16,2
283507461,20,5
283507614,16,1
283510476,19,3
283510647,19,1
283510764,15,1
283514076,18,2
283514706,17,2
283514760,16,1
283516047,18,1
283516407,17,1
283516470,18,1
283517064,18,3
283517604,17,1
283517640,18,1
283540167,17,2
283540671,21,4
283540716,17,1
283541067,22,1
283541607,21,1
283541670,22,5
283546071,20,4
283546701,19,4
283546710,18,1
283547016,18,2
283547106,17,2
283547160,18,4
283560174,13,2
283560417,17,1
283560741,17,1
283561074,16,2
283561704,15,1
283561740,16,1
283564017,16,2
283564107,15,2
283564170,14,2
283567041,18,1
283567401,19,2
283567410,18,1
283570146,15,2
283570461,19,2
283570614,17,1
283571046,16,2
283571406,17,2
283571460,18,2
283574061,18,2
283574601,19,3
283574610,18,1
283576014,14,4
283576104,13,2
283576140,14,2
283601457,20,1
283601574,14,1
283601745,18,2
283604175,8,1
283604517,18,3
283604751,16,1
283605147,12,1
283605471,16,1
283605714,20,3
283607154,12,1
283607415,18,2
283607541,16,1
283610457,21,3
283610574,15,1
283610745,19,2
283614057,18,2
283614507,17,1
283614570,16,1
283615074,22,12
283615704,21,5
283615740,20,2
283617045,20,6
283617405,19,2
283617450,20,2
283640175,9,1
283640517,19,4
283640751,17,1
283641075,20,6
283641705,19,3
283641750,18,1
283645017,12,1
283645107,11,1
283645170,10,1
283647051,18,1
283647501,17,1
283647510,18,1
283650147,13,1
283650471,17,1
283650714,19,1
283651047,20,1
283651407,19,1
283651470,18,1
283654071,18,1
283654701,17,1
283654710,18,1
283657014,14,1
283657104,13,1
283657140,14,2
283670154,11,1
283670415,17,1
283670541,15,1
283671054,12,1
283671504,13,1
283671540,14,1
283674015,10,2
283674105,9,1
283674150,10,1
283675041,14,1
283675401,15,1
283675410,16,1
283701465,14,2
283701546,14,2
283701654,10,1
283704156,18,2
283704561,16,2
283704615,8,1
283705164,20,2
283705416,12,2
283705641,12,1
283706145,22,11
283706451,16,2
283706514,12,2
283710465,13,2
283710546,13,2
283710654,9,1
283714065,6,1
283714605,7,1
283714650,8,1
283715046,10,2
283715406,11,2
283715460,12,2
283716054,10,2
283716504,11,2
283716540,12,2
283740156,19,2
283740561,17,4
283740615,9,1
283741056,16,2
283741506,15,2
283741560,16,2
283745061,12,1
283745601,11,1
283745610,10,1
283746015,20,3
283746105,21,5
283746150,20,2
283750164,19,1
283750416,13,2
283750641,13,2
283751064,12,1
283751604,11,1
283751640,12,1
283754016,16,1
283754106,17,1
283754160,18,1
283756041,16,2
283756401,15,2
283756410,14,2
283760145,21,1
283760451,17,4
283760514,13,2
283761045,16,2
283761405,15,2
283761450,16,2
283764051,16,3
283764501,15,2
283764510,14,2
283765014,20,2
283765104,21,4
283765140,22,5
284013567,23,1
284013675,19,2
284013756,21,7
284015376,17,4
284015637,21,5
284015763,19,3
284016357,21,2
284016573,23,3
284016735,19,4
284017365,21,5
284017536,23,2
284017653,19,1
284031576,21,1
284031657,21,1
284031765,11,1
284035167,17,1
284035671,19,1
284035716,13,1
284036175,15,1
284036517,23,4
284036751,15,1
284037156,19,1
284037561,23,3
284037615,17,1
284051367,25,8
284051673,19,1
284051736,17,1
284053176,17,1
284053617,21,1
284053761,19,1
284056137,23,12
284056371,19,3
284056713,21,1
284057163,21,1
284057316,23,3
284057631,23,2
284061375,15,1
284061537,25,10
284061753,15,1
284063157,21,1
284063571,21,1
284063715,21,6
284065173,21,2
284065317,21,3
284065731,21,3
284067135,21,1
284067351,21,2
284067513,23,2
284071356,21,1
284071563,19,1
284071635,15,1
284073165,19,3
284073516,21,2
284073651,17,1
284075136,17,1
284075361,23,4
284075613,19,1
284076153,21,4
284076315,19,1
284076531,19,1
284103567,22,1
284103675,18,2
284103756,20,7
284105376,18,6
284105637,20,3
284105763,18,1
284106357,22,8
284106573,24,12
284106735,18,4
284107365,20,1
284107536,22,2
284107653,18,1
284130567,21,1
284130675,17,1
284130756,19,2
284135067,18,1
284135607,19,2
284135670,18,1
284136075,16,1
284136705,17,1
284136750,18,1
284137056,20,1
284137506,21,1
284137560,22,2
284150376,19,6
284150637,21,4
284150763,19,3
284153076,18,1
284153706,19,1
284153760,20,4
284156037,22,6
284156307,21,6
284156370,20,6
284157063,20,1
284157603,19,1
284157630,20,1
284160357,23,9
284160573,23,3
284160735,17,1
284163057,22,1
284163507,23,2
284163570,24,5
284165073,20,2
284165703,19,2
284165730,18,1
284167035,22,2
284167305,21,1
284167350,22,1
284170365,21,8
284170536,23,4
284170653,19,3
284173065,20,5
284173605,19,2
284173650,20,5
284175036,18,1
284175306,19,7
284175360,20,7
284176053,22,4
284176503,23,4
284176530,24,8
284301576,22,1
284301657,22,2
284301765,12,1
284305167,18,1
284305671,20,1
284305716,14,1
284306175,16,1
284306517,22,2
284306751,16,2
284307156,20,2
284307561,24,5
284307615,18,1
284310576,23,1
284310657,21,1
284310765,13,1
284315076,16,2
284315706,15,2
284315760,14,1
284316057,22,2
284316507,23,4
284316570,24,5
284317065,20,1
284317605,19,1
284317650,20,1
284350167,19,1
284350671,21,1
284350716,15,1
284351067,24,3
284351607,23,3
284351670,22,1
284356071,18,3
284356701,17,3
284356710,16,1
284357016,22,3
284357106,21,3
284357160,20,1
284360175,17,1
284360517,23,3
284360751,15,1
284361075,14,1
284361705,13,1
284361750,14,1
284365017,20,2
284365107,19,2
284365170,18,1
284367051,22,2
284367501,23,2
284367510,24,5
284370156,19,1
284370561,25,7
284370615,19,1
284371056,22,1
284371506,23,2
284371560,24,2
284375061,22,2
284375601,21,2
284375610,20,1
284376015,18,1
284376105,17,1
284376150,18,1
284501367,24,3
284501673,20,1
284501736,18,1
284503176,18,1
284503617,22,1
284503761,20,1
284506137,22,2
284506371,20,3
284506713,22,2
284507163,22,2
284507316,24,7
284507631,24,4
284510367,25,3
284510673,21,1
284510736,19,1
284513067,24,3
284513607,23,2
284513670,22,1
284516073,22,1
284516703,21,1
284516730,20,1
284517036,24,2
284517306,25,9
284517360,26,12
284530176,19,1
284530617,23,1
284530761,21,2
284531076,20,1
284531706,19,1
284531760,20,1
284536017,22,1
284536107,21,1
284536170,20,1
284537061,24,3
284537601,25,8
284537610,24,1
284560137,21,1
284560371,21,3
284560713,23,3
284561037,24,3
284561307,23,3
284561370,22,3
284563071,22,2
284563701,21,1
284563710,22,1
284567013,24,5
284567103,23,3
284567130,22,1
284570163,21,1
284570316,23,4
284570631,23,2
284571063,20,1
284571603,21,2
284571630,22,2
284573016,20,1
284573106,19,1
284573160,20,1
284576031,20,1
284576301,21,4
284576310,22,4
284601375,16,1
284601537,24,4
284601753,16,1
284603157,22,3
284603571,20,1
284603715,20,1
284605173,22,5
284605317,20,1
284605731,20,1
284607135,20,1
284607351,20,2
284607513,22,2
284610375,17,1
284610537,23,2
284610753,17,1
284613075,20,3
284613705,19,1
284613750,18,1
284615037,20,1
284615307,19,1
284615370,18,1
284617053,20,1
284617503,21,1
284617530,22,1
284630157,21,1
284630571,21,1
284630715,21,2
284631057,22,1
284631507,23,2
284631570,22,1
284635071,20,1
284635701,21,2
284635710,22,4
284637015,18,1
284637105,19,1
284637150,20,1
284650173,23,8
284650317,21,1
284650731,19,1
284651073,18,1
284651703,17,1
284651730,18,1
284653017,22,1
284653107,23,4
284653170,24,12
284657031,22,2
284657301,21,2
284657310,22,3
284670135,21,2
284670351,19,2
284670513,21,1
284671035,16,1
284671305,17,2
284671350,18,2
284673051,18,1
284673501,19,1
284673510,20,1
284675013,20,1
284675103,21,1
284675130,22,3
284701356,20,1
284701563,18,1
284701635,14,1
284703165,18,2
284703516,20,1
284703651,16,1
284705136,16,1
284705361,22,2
284705613,18,1
284706153,20,3
284706315,20,1
284706531,18,1
284710356,21,1
284710563,19,1
284710635,15,1
284713056,22,9
284713506,21,2
284713560,20,1
284715063,18,1
284715603,17,1
284715630,16,1
284716035,20,4
284716305,21,5
284716350,22,6
284730165,17,1
284730516,19,1
284730651,15,1
284731065,12,1
284731605,13,1
284731650,14,1
284735016,14,1
284735106,15,1
284735160,16,1
284736051,16,1
284736501,17,1
284736510,18,1
284750136,17,1
284750361,21,1
284750613,19,2
284751036,18,1
284751306,19,1
284751360,20,1
284753061,18,1
284753601,17,1
284753610,18,1
284756013,20,1
284756103,19,1
284756130,18,1
284760153,21,5
284760315,21,2
284760531,19,2
284761053,16,1
284761503,17,1
284761530,18,1
284763015,20,2
284763105,19,2
284763150,20,2
284765031,22,3
284765301,23,7
284765310,22,2
285013476,21,5
285013647,21,2
285013764,17,1
285014367,25,20
285014673,23,1
285014736,17,3
285016374,21,6
285016437,23,4
285016743,19,5
285017346,25,15
285017463,23,2
285017634,23,3
285031467,23,3
285031674,23,2
285031746,15,2
285034176,17,1
285034617,21,1
285034761,19,2
285036147,19,1
285036471,23,6
285036714,17,2
285037164,21,1
285037416,21,3
285037641,21,1
285041376,19,2
285041637,25,2
285041763,19,2
285043167,21,1
285043671,23,1
285043716,17,1
285046173,19,2
285046317,21,2
285046731,19,1
285047136,23,1
285047361,25,12
285047613,23,3
285061347,27,16
285061473,23,2
285061734,21,2
285063174,19,3
285063417,23,1
285063741,23,8
285064137,21,3
285064371,23,6
285064713,25,6
285067143,23,4
285067314,25,7
285067431,25,1
285071364,23,3
285071436,19,2
285071643,21,1
285073146,21,4
285073461,21,2
285073614,21,2
285074163,23,4
285074316,21,8
285074631,21,3
285076134,21,2
285076341,23,3
285076413,23,11
285103476,20,3
285103647,20,2
285103764,16,1
285104367,24,14
285104673,22,1
285104736,16,3
285106374,22,8
285106437,22,4
285106743,18,5
285107346,24,9
285107463,22,2
285107634,22,3
285130476,19,1
285130647,19,1
285130764,17,2
285134076,18,4
285134706,17,3
285134760,18,5
285136047,20,1
285136407,21,2
285136470,20,1
285137064,22,2
285137604,21,1
285137640,20,1
285140367,23,4
285140673,23,5
285140736,15,2
285143067,22,3
285143607,21,2
285143670,22,2
285146073,18,2
285146703,17,2
285146730,16,2
285147036,24,1
285147306,25,14
285147360,24,4
285160374,23,8
285160437,23,6
285160743,17,1
285163074,18,1
285163704,17,1
285163740,18,2
285164037,22,3
285164307,23,3
285164370,24,11
285167043,24,6
285167403,23,2
285167430,24,8
285170346,23,4
285170463,23,8
285170634,21,1
285173046,22,7
285173406,21,3
285173460,22,3
285174063,24,6
285174603,23,2
285174630,22,1
285176034,22,2
285176304,23,10
285176340,24,14
285301467,24,3
285301674,24,2
285301746,16,2
285304176,18,3
285304617,22,4
285304761,20,4
285306147,20,3
285306471,24,6
285306714,18,2
285307164,22,4
285307416,22,3
285307641,22,1
285310467,25,6
285310674,25,6
285310746,17,2
285314067,24,4
285314607,23,4
285314670,24,4
285316074,20,4
285316704,19,4
285316740,18,2
285317046,24,3
285317406,23,3
285317460,24,3
285340176,17,2
285340617,21,3
285340761,19,2
